team_id,dimension,hybrid_score,telemetry_score,assessment_score,confidence,discrepancy_delta,scored_at
team_0,build_integration,50.3,41.2,86.8,low,45.6,2026-03-06 15:43:28
team_0,testing_quality,47.1,31.4,77.7,none,46.3,2026-02-20 15:43:28
team_0,deployment_release,81.8,88.6,25.6,low,63.0,2026-02-27 15:43:28
team_0,security_compliance,38.0,63.2,89.3,medium,26.1,2026-03-25 15:43:28
team_0,observability,71.2,39.1,89.1,high,50.0,2026-03-03 15:43:28
team_0,iac_configuration,39.2,69.3,26.7,low,42.6,2026-02-23 15:43:28
team_0,artifact_management,80.2,48.4,28.1,medium,20.3,2026-03-07 15:43:28
team_0,developer_experience,58.5,86.1,36.7,high,49.4,2026-02-15 15:43:28
team_0,pipeline_governance,24.9,65.3,79.2,none,13.9,2026-02-02 15:43:28
team_1,build_integration,27.8,55.3,74.2,none,18.9,2026-02-14 15:43:28
team_1,testing_quality,81.3,20.4,73.0,high,52.6,2026-02-26 15:43:28
team_1,deployment_release,73.8,17.8,30.1,medium,12.3,2026-02-05 15:43:28
team_1,security_compliance,38.9,20.3,82.5,low,62.2,2026-03-01 15:43:28
team_1,observability,49.1,62.3,55.3,high,7.0,2026-03-03 15:43:28
team_1,iac_configuration,70.5,55.1,69.9,high,14.8,2026-02-07 15:43:28
team_1,artifact_management,75.9,18.4,84.4,low,66.0,2026-01-27 15:43:28
team_1,developer_experience,57.7,36.7,73.0,high,36.3,2026-03-09 15:43:28
team_1,pipeline_governance,77.4,47.8,52.7,high,4.9,2026-02-25 15:43:28
team_2,build_integration,31.7,31.5,77.3,low,45.8,2026-02-15 15:43:28
team_2,testing_quality,30.8,65.8,89.0,low,23.2,2026-01-26 15:43:28
team_2,deployment_release,20.8,80.6,34.9,high,45.7,2026-03-27 15:43:28
team_2,security_compliance,63.0,44.6,63.3,high,18.7,2026-03-08 15:43:28
team_2,observability,35.8,70.6,75.8,medium,5.2,2026-03-01 15:43:28
team_2,iac_configuration,87.9,78.9,35.0,medium,43.9,2026-03-13 15:43:28
team_2,artifact_management,66.3,34.0,33.0,high,1.0,2026-02-01 15:43:28
team_2,developer_experience,76.3,89.3,63.4,high,25.9,2026-03-09 15:43:28
team_2,pipeline_governance,70.4,33.8,38.8,none,5.0,2026-01-26 15:43:28
team_3,build_integration,44.8,24.6,70.9,high,46.3,2026-03-09 15:43:28
team_3,testing_quality,66.5,82.5,47.2,none,35.3,2026-03-06 15:43:28
team_3,deployment_release,66.2,37.9,65.9,low,28.0,2026-02-04 15:43:28
team_3,security_compliance,43.7,47.1,25.3,medium,21.8,2026-02-05 15:43:28
team_3,observability,36.6,70.5,55.5,low,15.0,2026-03-19 15:43:28
team_3,iac_configuration,71.0,39.9,58.6,none,18.7,2026-03-05 15:43:28
